key,value
"Black or African American",42572
"White",31380
"Unknown",1948
"American Indian or Alaska Native",1095
"Asian",999
"Native Hawaiian or Other Pacific Islander",197
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
