key,value
"Black or African American",1693
"White",1546
"American Indian or Alaska Native",47
"Unknown",45
"Asian",28
"Native Hawaiian or Other Pacific Islander",13
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
