key,value
"Not Specified",2127834
"White",640911
"Unknown",639061
"Black or African American",419922
"American Indian or Alaska Native",18711
"Asian",10737
"Native Hawaiian or Other Pacific Islander",7170
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
