key,value
"Not Specified",3526191
"White",1604228
"Unknown",1063847
"Black or African American",887195
"American Indian or Alaska Native",31905
"Asian",31407
"Native Hawaiian or Other Pacific Islander",10914
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
