key,value
"White",3886
"Black or African American",1831
"Asian",1578
"Unknown",1139
"Not Specified",1106
"Native Hawaiian or Other Pacific Islander",378
"American Indian or Alaska Native",56
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
