key,value
"White",133547
"Black or African American",79694
"Unknown",12521
"Not Specified",9418
"Asian",3829
"American Indian or Alaska Native",3496
"Native Hawaiian or Other Pacific Islander",1112
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
