key,value
"White",372426
"Black or African American",240830
"Not Specified",75388
"Unknown",56072
"Asian",10333
"American Indian or Alaska Native",9708
"Native Hawaiian or Other Pacific Islander",3459
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
