key,value
"White",2881609
"Black or African American",902769
"Unknown",356761
"Not Specified",293752
"Asian",150274
"American Indian or Alaska Native",23530
"Native Hawaiian or Other Pacific Islander",13589
"Multiple",1
"Asian, Native Hawaiian, or Other Pacific Islander",0
