key,value
"White",5156
"Black or African American",978
"Unknown",417
"Not Specified",196
"American Indian or Alaska Native",130
"Asian",53
"Native Hawaiian or Other Pacific Islander",36
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
