key,value
"Not Specified",3627683
"White",1915940
"Black or African American",1331532
"Unknown",1125632
"American Indian or Alaska Native",50363
"Asian",36871
"Native Hawaiian or Other Pacific Islander",11086
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
