key,value
"White",2100488
"Black or African American",1595706
"Not Specified",903938
"Unknown",377883
"American Indian or Alaska Native",54180
"Asian",44703
"Native Hawaiian or Other Pacific Islander",11059
"Multiple",1
"Asian, Native Hawaiian, or Other Pacific Islander",0
