key,value
"White",395723
"Black or African American",117693
"Unknown",31572
"American Indian or Alaska Native",9399
"Asian",8456
"Native Hawaiian or Other Pacific Islander",1985
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
