key,value
"White",252939
"Black or African American",85291
"Unknown",43314
"Not Specified",40896
"Asian",8623
"American Indian or Alaska Native",5697
"Native Hawaiian or Other Pacific Islander",1491
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
