key,value
"Not Specified",536760
"White",193113
"Unknown",138111
"Black or African American",112223
"Asian",4196
"American Indian or Alaska Native",2940
"Native Hawaiian or Other Pacific Islander",1531
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
