key,value
"Not Specified",4169130
"White",85666
"Black or African American",27490
"Unknown",18246
"Asian",11765
"American Indian or Alaska Native",1981
"Native Hawaiian or Other Pacific Islander",1050
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
