key,value
"Not Specified",69559
"White",69524
"Black or African American",29251
"Unknown",13362
"Asian",2322
"American Indian or Alaska Native",1480
"Native Hawaiian or Other Pacific Islander",389
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
