key,value
"White",8826
"Black or African American",3347
"Asian",765
"Unknown",650
"Not Specified",373
"American Indian or Alaska Native",114
"Native Hawaiian or Other Pacific Islander",94
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
