key,value
"Not Specified",21128
"White",4395
"Unknown",3422
"Black or African American",2193
"American Indian or Alaska Native",120
"Asian",100
"Native Hawaiian or Other Pacific Islander",3
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
