key,value
"Black or African American",5069
"White",5000
"Not Specified",1753
"Unknown",1268
"Asian",529
"American Indian or Alaska Native",110
"Native Hawaiian or Other Pacific Islander",21
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
