key,value
"White",1408194
"Black or African American",1232080
"Not Specified",297082
"Unknown",258884
"American Indian or Alaska Native",47203
"Asian",36786
"Native Hawaiian or Other Pacific Islander",10814
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
