key,value
"White",30515
"Not Specified",6570
"Black or African American",5176
"Unknown",3278
"Asian",1290
"American Indian or Alaska Native",211
"Native Hawaiian or Other Pacific Islander",81
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
