key,value
"White",2135244
"Black or African American",609658
"Unknown",73076
"American Indian or Alaska Native",60056
"Not Specified",39679
"Asian",26782
"Native Hawaiian or Other Pacific Islander",6981
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
