key,value
"Not Specified",9078383
"White",4561678
"Black or African American",3076912
"Unknown",2752981
"American Indian or Alaska Native",102300
"Asian",93777
"Native Hawaiian or Other Pacific Islander",28952
"Multiple",1
"Asian, Native Hawaiian, or Other Pacific Islander",0
