key,value
"White",83386
"Black or African American",12990
"Unknown",8558
"Asian",4612
"Not Specified",1744
"American Indian or Alaska Native",679
"Native Hawaiian or Other Pacific Islander",279
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
