key,value
"Not Specified",829581
"White",476998
"Unknown",306659
"Black or African American",290182
"Asian",16983
"American Indian or Alaska Native",7243
"Native Hawaiian or Other Pacific Islander",2906
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
