key,value
"Not Specified",1025462
"Unknown",285902
"White",87464
"Black or African American",42368
"Asian",2351
"American Indian or Alaska Native",1085
"Native Hawaiian or Other Pacific Islander",705
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
