key,value
"White",84
"Unknown",75
"Black or African American",40
"Asian",19
"American Indian or Alaska Native",16
"Not Specified",8
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Native Hawaiian or Other Pacific Islander",0
