key,value
"White",1908051
"Not Specified",972934
"Black or African American",582988
"Unknown",166394
"Asian",120329
"American Indian or Alaska Native",23360
"Native Hawaiian or Other Pacific Islander",8741
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
