key,value
"White",494065
"Black or African American",262600
"Not Specified",148527
"Unknown",51740
"Asian",50507
"American Indian or Alaska Native",9759
"Native Hawaiian or Other Pacific Islander",3558
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
