key,value
"Not Specified",137299
"Unknown",45568
"White",20597
"Black or African American",12548
"Asian",1453
"American Indian or Alaska Native",386
"Native Hawaiian or Other Pacific Islander",137
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
