key,value
"White",9642
"Black or African American",7908
"Asian",1710
"Not Specified",1138
"Unknown",817
"American Indian or Alaska Native",106
"Native Hawaiian or Other Pacific Islander",30
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
