key,value
"White",142123
"Black or African American",30009
"Not Specified",24694
"Unknown",12879
"Asian",7564
"American Indian or Alaska Native",1071
"Native Hawaiian or Other Pacific Islander",306
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
