key,value
"Black or African American",43881
"White",29527
"Not Specified",12971
"Unknown",9407
"American Indian or Alaska Native",1087
"Asian",703
"Native Hawaiian or Other Pacific Islander",240
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
