key,value
"White",67018
"Black or African American",17509
"Not Specified",11927
"Unknown",9196
"Asian",6543
"American Indian or Alaska Native",590
"Native Hawaiian or Other Pacific Islander",367
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
