key,value
"White",2926
"Black or African American",1046
"Not Specified",407
"Unknown",405
"Asian",90
"American Indian or Alaska Native",71
"Native Hawaiian or Other Pacific Islander",14
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
