key,value
"American Indian or Alaska Native",135
"White",87
"Black or African American",7
"Unknown",1
"Asian",0
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Native Hawaiian or Other Pacific Islander",0
"Not Specified",0
