key,value
"White",8322153
"Not Specified",6553531
"Black or African American",2533730
"Unknown",1046152
"Asian",466869
"American Indian or Alaska Native",82006
"Native Hawaiian or Other Pacific Islander",39515
"Multiple",8
"Asian, Native Hawaiian, or Other Pacific Islander",0
