key,value
"Not Specified",60999
"Unknown",28014
"White",18043
"Black or African American",6549
"Asian",1202
"American Indian or Alaska Native",224
"Native Hawaiian or Other Pacific Islander",107
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
