key,value
"White",262103
"Not Specified",247450
"Black or African American",143871
"Unknown",120588
"Asian",8292
"American Indian or Alaska Native",4431
"Native Hawaiian or Other Pacific Islander",2293
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
