key,value
"White",6366
"Black or African American",2736
"Unknown",514
"Not Specified",455
"American Indian or Alaska Native",303
"Asian",168
"Native Hawaiian or Other Pacific Islander",53
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
