key,value
"American Indian or Alaska Native",654
"White",91
"Not Specified",38
"Black or African American",35
"Unknown",11
"Asian",4
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Native Hawaiian or Other Pacific Islander",0
