key,value
"White",1379
"Black or African American",860
"Not Specified",421
"Unknown",348
"Asian",134
"American Indian or Alaska Native",21
"Native Hawaiian or Other Pacific Islander",6
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
