key,value
"White",1822055
"Black or African American",938934
"Unknown",207793
"Asian",65938
"American Indian or Alaska Native",28612
"Native Hawaiian or Other Pacific Islander",10501
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
