key,value
"White",6931
"Black or African American",2210
"Unknown",524
"American Indian or Alaska Native",311
"Asian",187
"Native Hawaiian or Other Pacific Islander",44
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
