key,value
"American Indian or Alaska Native",397
"White",255
"Black or African American",101
"Not Specified",65
"Unknown",35
"Asian",5
"Native Hawaiian or Other Pacific Islander",4
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
