key,value
"White",3696362
"Not Specified",1538056
"Black or African American",1073003
"Unknown",430415
"Asian",194664
"American Indian or Alaska Native",39581
"Native Hawaiian or Other Pacific Islander",18022
"Multiple",3
"Asian, Native Hawaiian, or Other Pacific Islander",0
