key,value
"White",122288
"Not Specified",63252
"Black or African American",35209
"Unknown",28435
"Asian",2840
"American Indian or Alaska Native",1451
"Native Hawaiian or Other Pacific Islander",418
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
