key,value
"White",758286
"Not Specified",294095
"Black or African American",272389
"Unknown",91228
"Asian",45633
"American Indian or Alaska Native",9574
"Native Hawaiian or Other Pacific Islander",2618
"Multiple",3
"Asian, Native Hawaiian, or Other Pacific Islander",0
