key,value
"Not Specified",705525
"Unknown",175008
"White",124705
"Black or African American",62872
"Asian",4346
"American Indian or Alaska Native",2621
"Native Hawaiian or Other Pacific Islander",1049
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
