key,value
"White",6398183
"Black or African American",3121918
"Unknown",366404
"Asian",178687
"American Indian or Alaska Native",138877
"Native Hawaiian or Other Pacific Islander",35288
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
