key,value
"White",790143
"Black or African American",228369
"Not Specified",226505
"Unknown",135778
"Asian",54724
"American Indian or Alaska Native",6127
"Native Hawaiian or Other Pacific Islander",3592
"Multiple",1
"Asian, Native Hawaiian, or Other Pacific Islander",0
