key,value
"White",1304116
"Black or African American",1007123
"Unknown",305287
"Not Specified",263327
"Asian",38612
"American Indian or Alaska Native",27548
"Native Hawaiian or Other Pacific Islander",9607
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
