key,value
"White",154212
"Black or African American",60431
"Unknown",8946
"Asian",4720
"American Indian or Alaska Native",3582
"Native Hawaiian or Other Pacific Islander",1052
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
