key,value
"White",2845
"Black or African American",1533
"Unknown",80
"Asian",74
"Native Hawaiian or Other Pacific Islander",26
"American Indian or Alaska Native",24
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
