key,value
"White",2405
"Not Specified",1319
"Black or African American",372
"Unknown",251
"Asian",44
"American Indian or Alaska Native",38
"Native Hawaiian or Other Pacific Islander",7
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
