key,value
"White",2725
"Black or African American",1831
"Asian",633
"Not Specified",450
"Unknown",256
"American Indian or Alaska Native",52
"Native Hawaiian or Other Pacific Islander",33
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
