key,value
"Not Specified",2856450
"Unknown",777250
"White",339029
"Black or African American",285024
"Asian",6781
"American Indian or Alaska Native",6578
"Native Hawaiian or Other Pacific Islander",3565
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
