key,value
"White",288556
"Black or African American",62107
"Not Specified",59798
"Unknown",36959
"Asian",14863
"American Indian or Alaska Native",2370
"Native Hawaiian or Other Pacific Islander",774
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
