key,value
"White",6930
"Black or African American",3209
"Unknown",1590
"Asian",379
"American Indian or Alaska Native",166
"Native Hawaiian or Other Pacific Islander",32
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
"Not Specified",0
