key,value
"White",5377886
"Black or African American",3679521
"Unknown",458982
"Not Specified",412834
"American Indian or Alaska Native",147239
"Asian",136375
"Native Hawaiian or Other Pacific Islander",40380
"Multiple",1
"Asian, Native Hawaiian, or Other Pacific Islander",0
