key,value
"White",312768
"Black or African American",146603
"Unknown",63361
"Not Specified",49995
"Asian",7947
"American Indian or Alaska Native",7467
"Native Hawaiian or Other Pacific Islander",2072
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
