key,value
"Not Specified",21942
"Black or African American",17191
"White",14345
"Unknown",8221
"Asian",421
"Native Hawaiian or Other Pacific Islander",395
"American Indian or Alaska Native",327
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
