key,value
"Not Specified",11975
"White",9043
"Unknown",4671
"Black or African American",3874
"American Indian or Alaska Native",139
"Asian",130
"Native Hawaiian or Other Pacific Islander",31
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
