key,value
"White",87496
"Black or African American",53812
"Not Specified",17177
"Unknown",15745
"Asian",2674
"American Indian or Alaska Native",1570
"Native Hawaiian or Other Pacific Islander",359
"Asian, Native Hawaiian, or Other Pacific Islander",0
"Multiple",0
